"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"VAV3",0.0658963954649823,-0.259666526836425,0.394,0.429,1
"EXOSC1",0.0658997013981095,-0.227407260682761,0.275,0.315,1
"LTB4R",0.0659443267672551,-0.546501272131106,0.038,0.055,1
"ARMC10",0.0659495891849933,-0.220275381416532,0.227,0.262,1
"TMEM273",0.0659738249985392,-0.341906628164612,0.171,0.2,1
"TGDS",0.0659882445501281,-0.340612669767238,0.08,0.105,1
"HNRNPA2B1",0.0660183812638243,-0.0842869463749603,0.994,0.993,1
"VPS33A",0.0660881522798543,-0.242834775882323,0.227,0.261,1
"STK36",0.0662302999785645,-0.681804737556848,0.018,0.031,1
"DPYD",0.0662426775266703,-0.174583013676958,0.601,0.599,1
"KDM7A",0.066242960214764,0.150091288171335,0.429,0.398,1
"GSS",0.0662509102929341,-0.250743825288662,0.185,0.216,1
"DPP7",0.0662959431678029,-0.0876995847548797,0.87,0.877,1
"AL161725.1",0.066330262316161,0.700552600942249,0.062,0.046,1
"ZWINT",0.0663578499212228,-1.07916034215148,0.018,0.031,1
"FANCI",0.0664053957729271,-0.414129658133362,0.061,0.082,1
"CAMK2G",0.0664468971264091,-0.212704664305218,0.341,0.377,1
"CENPW",0.0664951931161299,-0.518523835152811,0.048,0.067,1
"TAF13",0.0664960063688748,-0.223496912872308,0.152,0.182,1
"ICAM4",0.0666600023684411,-1.10685719635479,0.008,0.018,1
"TMEM150A",0.066670219422416,-0.416138074264503,0.065,0.086,1
"SCAPER",0.0666780265183804,0.130032103148347,0.481,0.445,1
"PC",0.0666938993678089,-0.884793368801995,0.008,0.018,1
"PIK3R6",0.0667298432191791,-0.783121336502661,0.021,0.035,1
"SCN1B",0.0667618660431299,-1.08338386717738,0.004,0.012,1
"AP001059.3",0.0668271074410598,0.505429291128714,0.042,0.028,1
"OBSCN",0.0668819810226968,0.4295695706892,0.09,0.07,1
"GTF2H1",0.0668952690693657,0.2716981292629,0.272,0.245,1
"TBL1X",0.0669208829164475,0.139467298427492,0.439,0.395,1
"AC079781.5",0.0669304686075925,0.128246945022247,0.588,0.558,1
"PI4KB",0.0669380973447562,0.163066170488112,0.403,0.364,1
"CACNA2D4",0.0670846773825421,-0.409769910581779,0.083,0.107,1
"RNF144B",0.0671578106929419,0.185165767815261,0.099,0.076,1
"ZSWIM1",0.0672540748048656,0.457906532713459,0.063,0.046,1
"LINC02340",0.067261163725611,-0.528855787812885,0.037,0.054,1
"BOP1",0.0673591484517865,-0.156965809004814,0.237,0.274,1
"SLC35B4",0.0674393693939897,-0.224075674978285,0.072,0.095,1
"L2HGDH",0.0675154339806411,-0.42194332232055,0.038,0.055,1
"LINC00861",0.0675326159403164,-0.374778607517765,0.48,0.479,1
"FUBP3",0.0675380902155023,-0.16130907009519,0.2,0.239,1
"GUCD1",0.067587933937565,0.0944496947743352,0.346,0.306,1
"ISM1",0.0676881691004624,0.395242084388002,0.09,0.07,1
"COMMD1",0.0677725285443735,-0.13930887279219,0.41,0.448,1
"SNRPD2",0.0677837988921884,-0.0662331285233113,0.996,0.987,1
"PRMT1",0.0678089153459985,-0.0947423544096526,0.619,0.666,1
"TMPO-AS1",0.0678170402115276,-0.303220528842035,0.066,0.089,1
"CYCS",0.0678476675341602,0.0735393871311337,0.88,0.85,1
"GALE",0.0678664228322633,-0.414982256177274,0.054,0.074,1
"AC012291.3",0.0679930963013535,1.01783836114414,0.02,0.011,1
"TRIT1",0.0680480200505871,-0.33448976842985,0.073,0.096,1
"REXO2",0.0680893705097072,-0.175824607116269,0.355,0.394,1
"PPARA",0.0681058275721176,-0.307486171563025,0.152,0.182,1
"SLC9B1",0.0682248676384325,0.638601992945516,0.068,0.05,1
"MTMR1",0.0684227171080379,0.11002661402706,0.355,0.324,1
"TRIM14",0.068526937040568,-0.157849052826005,0.23,0.268,1
"TLE3",0.0685562424670508,0.0698858828763902,0.339,0.301,1
"SLC35A4",0.0685608590216366,-0.216787473981058,0.227,0.263,1
"ARRDC4",0.068630254831846,0.539038706647898,0.044,0.03,1
"DNAJC24",0.068644350021775,-0.201133289154747,0.127,0.158,1
"ITGA3",0.068681953523718,-0.297428606247386,0.027,0.042,1
"METAP2",0.0686861559631731,-0.156405763871313,0.554,0.581,1
"ZNF106",0.0686904098925711,-0.122909314878694,0.432,0.473,1
"ATG4B",0.068706642739021,-0.169285557839198,0.388,0.431,1
"CENPL",0.0687489617310271,-0.556068809533905,0.042,0.06,1
"RPP21",0.0687904712007503,0.0655548797409726,0.519,0.478,1
"ZNF74",0.068797005936399,-0.406142392207405,0.031,0.047,1
"AC127521.1",0.0688286468676228,-0.580786553424406,0.034,0.05,1
"CSF2RB",0.068877550769168,-0.466457716290421,0.032,0.049,1
"TAF1A",0.0689438078647161,0.531370308652277,0.055,0.039,1
"IGKV1D-43",0.0689598964298486,-2.90371926663873,0.016,0.008,1
"MARCH7",0.0689649636076968,0.10600286804412,0.543,0.518,1
"SACS",0.0689823021095643,-0.31519357332186,0.169,0.197,1
"CARS",0.0689944110019991,-0.248743514360781,0.293,0.333,1
"SAT2",0.0690194068197194,-0.182554720009044,0.489,0.527,1
"KDM1B",0.0690512735167356,-0.298957710420859,0.109,0.135,1
"CLASP1",0.0690616709910327,-0.223526509101584,0.299,0.338,1
"NASP",0.0691313047007951,-0.145950501637312,0.508,0.557,1
"TMEM183A",0.06913449684124,-0.149310686617885,0.415,0.46,1
"ZNF146",0.0691675017919701,0.213807333234124,0.326,0.294,1
"FP565260.1",0.0691723603423168,-0.357726896463237,0.037,0.054,1
"TPO",0.0692284759929046,0.937313627322593,0.016,0.008,1
"TCTN1",0.0692440336428114,0.269686000911892,0.166,0.138,1
"HECW2-AS1",0.0692467756803311,0.428357172987112,0.042,0.028,1
"L3HYPDH",0.0692542356543723,-0.263392772367014,0.096,0.121,1
"C1orf159",0.0692763964071762,-0.394344364641003,0.082,0.105,1
"PTPRCAP",0.0693034940064603,-0.193642122859435,0.394,0.427,1
"ZNF439",0.0693704965844725,0.37065595443336,0.111,0.089,1
"LINC01644",0.0694802529379664,-0.574958588929892,0.018,0.031,1
"PRKD1",0.0695201762826999,0.723460821320052,0.041,0.027,1
"C16orf95",0.0695465639858435,-0.525071407571248,0.018,0.031,1
"ATRN",0.0695755596090263,-0.262656675563605,0.11,0.138,1
"PRDX6",0.0695969288446918,-0.0936014559348492,0.726,0.76,1
"NOD2",0.0695973683738987,-0.485879825273713,0.027,0.042,1
"LYRM7",0.0696729792916873,0.247402391908134,0.193,0.166,1
"DDX55",0.0697748294114315,-0.196128467238966,0.185,0.216,1
"AC092546.1",0.0698396743527667,-1.01672852569711,0.014,0.026,1
"GALNT2",0.0698460210841124,-0.220775663837629,0.251,0.291,1
"CASTOR3",0.0698931070414463,-0.251555250959836,0.096,0.122,1
"SYNC",0.0698943710315478,-0.269855157668728,0.298,0.334,1
"PPP6C",0.0698979915742344,-0.131599232056708,0.598,0.639,1
"PTPN4",0.0700450275692276,-0.183171973269388,0.496,0.509,1
