"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CD247.5",1.9082275515287e-51,-3.02991562707932,0.181,0.739,6.98430366135018e-47,"6","CD247"
"CCND3.4",2.19228278156e-51,-2.04282249847604,0.452,0.855,8.02397420878775e-47,"6","CCND3"
"KREMEN2.5",2.20409686875131e-51,4.0286740523574,0.186,0.014,8.06721494931666e-47,"6","KREMEN2"
"BCL11B.5",2.26397081697273e-51,-4.18869605910763,0.08,0.67,8.2863595872019e-47,"6","BCL11B"
"AL589693.1.3",3.84863216622631e-51,2.46202468338303,0.608,0.194,1.40863785916049e-46,"6","AL589693.1"
"HHEX.5",4.82271529262893e-51,2.21641123825332,0.593,0.178,1.76516202425512e-46,"6","HHEX"
"GSTP1.5",6.91424128961696e-51,-2.32124427104184,0.271,0.817,2.5306814544127e-46,"6","GSTP1"
"CTSH.4",9.70315158969194e-51,1.60746838869833,0.915,0.568,3.55145051334315e-46,"6","CTSH"
"CD6.5",1.3446743542161e-50,-3.62997497594482,0.06,0.67,4.92164260386635e-46,"6","CD6"
"PTPN6.5",2.12708702575071e-50,1.44974533688733,0.975,0.783,7.78535122295017e-46,"6","PTPN6"
"ARPC1B.2",4.91617622004915e-50,1.04094838359091,1,0.977,1.79936965830019e-45,"6","ARPC1B"
"CD19.6",5.29427106191285e-50,1.62880395170615,0.834,0.4,1.93775615137072e-45,"6","CD19"
"DUSP1.6",5.80336657874959e-50,-1.19792225191164,0.96,0.989,2.12409020148814e-45,"6","DUSP1"
"TLE1.5",9.4031119839912e-50,2.01080898099485,0.698,0.251,3.44163301726062e-45,"6","TLE1"
"HOMER3.3",2.62893831051986e-49,2.88324074419044,0.362,0.065,9.62217711033373e-45,"6","HOMER3"
"CD82.5",2.85047638470544e-49,1.33789827382987,0.95,0.734,1.04330286156604e-44,"6","CD82"
"CLIC4.5",5.71820004753958e-49,1.82557796103583,0.693,0.242,2.09291839939996e-44,"6","CLIC4"
"SMAGP.3",1.10556531814049e-48,2.12688287935468,0.643,0.23,4.046479620926e-44,"6","SMAGP"
"MARCKS.6",1.39458936626924e-48,1.60261597665564,0.925,0.469,5.10433653948206e-44,"6","MARCKS"
"EBI3.4",1.71138977103874e-48,2.87340130607588,0.367,0.069,6.26385770097889e-44,"6","EBI3"
"BCAS4.5",2.30344378313321e-48,1.61834355268236,0.819,0.402,8.43083459064585e-44,"6","BCAS4"
"KYNU.6",2.37136736256381e-48,2.04623986789977,0.653,0.225,8.6794416837198e-44,"6","KYNU"
"PPP1R14A.4",3.5509846656348e-48,2.3724471177545,0.538,0.149,1.29969589746899e-43,"6","PPP1R14A"
"UQCRH.5",5.23814438188426e-48,1.01824174391478,0.995,0.94,1.91721322521346e-43,"6","UQCRH"
"CR1.5",5.3630240851063e-48,2.16658512479835,0.658,0.229,1.96292044538976e-43,"6","CR1"
"GNG7.6",9.92639332764665e-48,1.38733120742995,0.935,0.5,3.63315922185195e-43,"6","GNG7"
"SCIMP.6",1.3568489947551e-47,2.29984243482606,0.558,0.169,4.96620300570315e-43,"6","SCIMP"
"RPS27A.4",2.35043286087963e-47,-0.442228059688951,1,1,8.60281931410554e-43,"6","RPS27A"
"FOS.6",8.28078294436009e-47,-1.37447052080768,0.96,0.99,3.03084936546524e-42,"6","FOS"
"SH2B2.4",1.00353558850796e-46,2.28172014990472,0.563,0.172,3.67304060749798e-42,"6","SH2B2"
"CTSW.4",1.1817904097109e-46,-4.75824957720879,0.07,0.63,4.32547107858288e-42,"6","CTSW"
"TCF4.6",1.41921378425744e-46,1.48036657137836,0.849,0.408,5.19446437176064e-42,"6","TCF4"
"TCF7.5",1.8643794411272e-46,-2.37893071945147,0.382,0.799,6.82381519246968e-42,"6","TCF7"
"CLIC1.3",5.73255004419801e-46,0.99831382017244,0.99,0.97,2.09817064167691e-41,"6","CLIC1"
"SYNGR2.6",1.00329529830139e-45,1.04332831032923,0.995,0.856,3.67216112131292e-41,"6","SYNGR2"
"CXXC5.6",2.57552694574785e-45,1.42858026037665,0.884,0.477,9.42668617413171e-41,"6","CXXC5"
"LRMP.5",3.22068818189142e-45,1.73713652946262,0.819,0.473,1.17880408145408e-40,"6","LRMP"
"LAT2.6",3.40692724694223e-45,1.83928612008107,0.709,0.289,1.24696944165332e-40,"6","LAT2"
"LEPROTL1.5",4.72225068115734e-45,-2.17177218137707,0.402,0.809,1.7283909718104e-40,"6","LEPROTL1"
"IGHA2.5",5.21746321567432e-45,0.400288372796242,0.523,0.154,1.90964371156896e-40,"6","IGHA2"
"RPL30.4",1.28589419147108e-44,-0.443130024127399,1,1,4.7065013302033e-40,"6","RPL30"
"TCF3.4",2.05104127816849e-44,1.61681713759399,0.809,0.449,7.50701618222449e-40,"6","TCF3"
"NAPSA.6",2.20943333821393e-44,1.75219946758109,0.709,0.288,8.0867469611968e-40,"6","NAPSA"
"PRKCB.6",2.61883712907899e-44,1.04981208940144,0.995,0.915,9.585205776142e-40,"6","PRKCB"
"GATA3.5",6.24869719472507e-44,-3.80692542465325,0.075,0.621,2.28708566024132e-39,"6","GATA3"
"CD40.6",2.38618053641883e-43,1.65590013320276,0.774,0.337,8.73365938134656e-39,"6","CD40"
"CD53.3",2.43186874631605e-43,1.24773225483175,0.96,0.891,8.90088279839137e-39,"6","CD53"
"TEX9.5",5.07516262131331e-43,2.56319033375739,0.432,0.107,1.85756027102688e-38,"6","TEX9"
"LYPLAL1.4",6.27049907130494e-43,2.16650911121918,0.638,0.24,2.29506536508832e-38,"6","LYPLAL1"
"SNX22.5",7.86509657829288e-43,2.24841207233011,0.538,0.17,2.87870399862098e-38,"6","SNX22"
"SKAP1.5",1.03702502135866e-42,-2.05417727558876,0.271,0.767,3.79561528067484e-38,"6","SKAP1"
"TNFRSF13B.6",1.11028585382574e-42,1.56900032467202,0.779,0.365,4.06375725358761e-38,"6","TNFRSF13B"
"PLCG2.6",2.8616578403317e-42,1.37356789302587,0.864,0.45,1.04739538613981e-37,"6","PLCG2"
"SRGN.4",2.99023947373994e-42,-1.53299827564865,0.769,0.923,1.09445754978356e-37,"6","SRGN"
"SNX2.6",3.64972344927586e-42,1.2080240463461,0.94,0.72,1.33583527966946e-37,"6","SNX2"
"JCHAIN.6",5.71784885654014e-42,0.589970677530207,0.794,0.385,2.09278985998226e-37,"6","JCHAIN"
